Names,Years,Duration,Genre,Rating,Stars,Votes
Blue,2020,91,Drama            ,1.4,"God'spower Okoh, Ray Emodi, Tina Mba, Odera Olivia Orji, Ben Lugo Touitou]",22
The Same Day,2012,90,Crime            ,1.7,"Uche Chika, Don Alphonso, Michael Arg, Pat Attah, Kristine Cricri]",29
Chain,2018,74,Drama            ,1.9,"Awal Abdulfatai Rahmat, Chisimdi Benjamin, Andre Ibe, Dineo Mofammere, Helen Enado Odigie]",13
Rising Moon,2005,85,Drama            ,2.1,"Add a Plot, Andy Nwakalor, Akume Akume, Nzubechi Anele, Prince Emeka Ani, Arthur Brooks]",10
The Python,2003,118,"Drama, Horror            ",2.2,"Add a Plot, Amayo Uzo Philips, Stephen Ahanaonu, Pete Edochie, Rita Edochie, Philip Emeniko]",5
One Bad Turn,2022,68,Horror            ,2.5,"Add a Plot, Blessing Effiom Egbe, Lota Chukwu, Shaffy Bello, Bobby Michaels, Enyinna Nwigwe]",14
The Duplex,2015,92,Drama            ,2.6,"Ikechukwu Onyeka, Patrick Chukwueko, Aret Edet, Uru Eke, Mike Ezuruonye]",145
Warriors of Satan,2007,113,Horror            ,2.8,"Add a Plot, Kalu Anya, Emeka Ike, Desmond Elliot, Livinus Nnochiri, Chinyere Nwabueze]",6
666 (Beware the End Is at Hand) 2,2007,104,Romance            ,2.9,"Ugo Ugbor, Prince Emeka Ani, Bob Emmanuel Anosike, Fred Ariko, Kenneth Chukwu]",23
Charmed,2018,130,Comedy            ,3.1,"See full summary, Adeola Osunkojo, Jimmy Odukoya, Bimbo Ademoye, Omowunmi Dada, Elozonam]",19
Chief Daddy 2: Going for Broke,2022,94,Thriller            ,3.2,"Niyi Akinmolayan, Chika Agwuike, Dakore Akande, Violet Akhator, Funke Akindele]",153
Sanitation Day,2020,80,Drama            ,3.2,"Seyi Babatope, Rosemary Abazie, Baaj Adebule, Tunji Aderibigbe, Tobi Bakre]",19
Small Chops,2020,113,Horror            ,3.3,"Robert Peters, Toyin Abraham, Omotunde Adebowale David, Lilian Chioma Agu, Gbenga Alabi]",34
End of the Wicked,1999,105,Drama            ,3.3,"Add a Plot, Teco Benson, Charles Okafor, Hilda Dokubo, Alex Usifo Omiagbo, Patience Oseni]",68
Daughters,2020,100,"Biography, Drama            ",3.4,"Gbemi Phillips, Rotimi Adelegan, Agbe Adeyemi, Amaka, Ashley Ashey]",23
Invasion 1897,2014,62,"Drama, Romance            ",3.4,"Lancelot Oduwa Imasuen, Murtaza Arif, Sandra Idubor, Ehigiator Joy Nosa, Mike Omoregbee]",104
Lagos Cougars,2013,98,Drama            ,3.4,"Desmond Elliot, Godwin Akpan, John Akpan, Jojo Charry, Monalisa Chinda]",6
Last Request,2019,125,Drama            ,3.5,"James Abinibi, Bimbo Akintola, Rekiya Attah, Yemi Blaq, Lawal Dolapo]",25
Chains,2019,104,Drama            ,3.5,"Andrew Osawaru, Josephine Agbonmwanre, Sharon Eronmwonsuyi, Calistra Akenobo, Edgar Ogbeifun]",89
Royal Battle 2,2005,69,Thriller            ,3.5,"Add a Plot, Adim Williams, Laide Bakare, Stephanie Linus, Amaechi Muonagor, Saint Obi]",31
Deranged,2017,128,Drama            ,3.6,"See full summary, Jameel Buari, Kelvin Boateng, Nadia Buari, Pascaline Edwards, Jason El-Agha]",18
Glamour Girls,2022,106,"Romance, Thriller            ",3.7,"Bunmi Ajakaiye, Robert Adewale, Lilian Afegbai, Shantel Agba, Chika Agwuike]",179
Hey You!,2022,105,Drama            ,3.8,"Uyoyou Adia, John Promise Adurable, Tunbosun Aiyedehin, Rita Anwarah, Ebisan Arayi]",93
Weather for Two,2022,111,"Drama, History, Thriller            ",3.8,"Add a Plot, Wale Adesanya, Abu Ayuba, Ossai Praise Chioma, Eso Dike, Emem Isaac]",10
Swallow,2021,140,"Action, Thriller            ",3.9,"Kunle Afolayan, Deyemi Okanlawon, Kunle Afolayan, Chioma Chukwuka Akpotha, Ijeoma Grace Agu]",205
Domitilla,1996,120,"Action, Adventure, Biography            ",3.9,"Add a Plot, Zeb Ejiro, Sandra Achums, Ada Ameh, Sam Arogundade, Ejiro Benjamin]",17
Amina,2021,97,Drama            ,4.0,"Izu Ojukwu, Usman Tijani Abubakar, Jennifer Ezekiel Ade, Paul Adubazi, Lucy Ameh]",385
Man of God,2022,75,"Horror, Mystery            ",4.0,"Bolanle Austen-Peters, Akah Nnani, Osas Ighodaro, Atlanta Bridget Johnson, Dorcas Shola Fapson]",172
Nneka the Pretty Serpent,2020,103,"Comedy, Crime            ",4.0,"Tosin Igho, Idia Aisien, Kenneth Okolie, Onikosi Bukola Abisoye, Bimbo Ademoye]",141
Quam's Money,2020,104,"Action, Thriller            ",4.0,"Kayode Kasum, Falz, Nse Ikpe-Etim, Uchemba Williams, Toni Tones]",71
Volcano,2020,115,Horror            ,4.0,"Onesoul, Omini Aho, Bimbo Akintola, Rachel Edwards, Damilare Kuku]",23
The Signs of Endtime 2,2007,101,Horror            ,4.0,"Ugo Ugbor, Prince Emeka Ani, Fred Ariko, Kenneth Chukwu, Musa Ibrahim]",9
The Signs of End Time,2007,132,"Crime, Drama            ",4.1,"Ugo Ugbor, Prince Emeka Ani, Fred Ariko, Kenneth Chukwu, Musa Ibrahim]",10
The Set Up,2019,95,"Drama, Romance            ",4.2,"See full summary, Niyi Akinmolayan, Sunny Ajaero, Dakore Akande, Uzor Arukwe, Ayoola Ayolola]",149
Finding Hubby,2020,111,Drama            ,4.2,"See full summary, Olufemi Ogunsanwo, Rosemary Abazie, Munachi Abii, Omobola Akinde, Teniola Aladese]",44
A Dance to Forget,2020,80,Adventure            ,4.2,"See full summary, Okechukwu Oku, Nestor Orji, Nazo Ekezie, Ngozi Ezeonu, Nonny Igboanugo, Ugo Doris Igwe]",14
Tatu,2017,81,Thriller            ,4.2,"Don Omope, Monday Abraham, Toyin Abraham, Gabriel Afolayan, Funlola Aofiyebi]",24
Super Hero,2005,71,Thriller            ,4.2,"Add a Plot, Chika Anyanwu, Amaechi Muonagor, Ramsey Nouah, Charles Okafor]",5
The Awakening,2013,120,"Comedy, Romance            ",4.2,"Add a Plot, Ethan Okwara, James Omokwe, O.C. Ukeje, Deleke Aroleye, Kehinde Bankole, Femi Brainard]",5
"Mum, Dad, Meet Sam",2014,81,"Action, Drama            ",4.3,"Tony Sebastian Ukpo, Anthony Ofoegbu, Tino Orsini, Joseph Benjamin, Emily Lucienne]",120
